"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1749,#2011-07-07#,5,2,5627.85,584.6401,17,24,28949,"^DJT"
1750,#2011-08-23#,5,1,4205.13,-1422.72,33,47,28982,"^DJT"
1751,#2011-08-31#,5,2,4778.76,573.6299,6,8,28988,"^DJT"
1752,#2011-10-04#,5,1,3950.66,-828.0999,23,34,29011,"^DJT"
1753,#2011-10-27#,5,2,5067.7,1117.04,17,23,29028,"^DJT"
1754,#2011-11-25#,5,1,4532.74,-534.96,20,29,29048,"^DJT"
1755,#2011-12-05#,5,2,5066.74,534,6,10,29054,"^DJT"
1756,#2011-12-14#,5,1,4750.14,-316.6001,7,9,29061,"^DJT"
1757,#2012-02-03#,5,2,5383.17,633.0298,34,51,29095,"^DJT"
1758,#2012-02-23#,5,1,5090.43,-292.7397,13,20,29108,"^DJT"
1759,#2012-03-19#,5,2,5389.54,299.1099,17,25,29125,"^DJT"
1760,#2012-04-10#,5,1,5075.74,-313.7998,15,22,29140,"^DJT"
1761,#2012-05-03#,5,2,5359.93,284.1899,17,23,29157,"^DJT"
1762,#2012-05-18#,5,1,4865.07,-494.8604,11,15,29168,"^DJT"
1763,#2012-06-19#,5,2,5289.95,424.8804,21,32,29189,"^DJT"
1764,#2012-07-25#,5,1,4912.3,-377.6504,25,36,29214,"^DJT"
1765,#2012-08-21#,5,2,5223.23,310.9302,19,27,29233,"^DJT"
1766,#2012-09-05#,5,1,4939.37,-283.8599,10,15,29243,"^DJT"
1767,#2012-09-14#,5,2,5231.06,291.6899,7,9,29250,"^DJT"
1768,#2012-09-28#,5,1,4870.97,-360.0898,10,14,29260,"^DJT"
1769,#2012-10-18#,5,2,5192.07,321.0996,14,20,29274,"^DJT"
1770,#2012-10-25#,5,1,4992.34,-199.73,5,7,29279,"^DJT"
1771,#2012-11-06#,5,2,5213.49,221.1504,6,12,29285,"^DJT"
1772,#2012-11-16#,5,1,4839.73,-373.7603,8,10,29293,"^DJT"
1773,#2012-12-20#,5,2,5357.05,517.3198,23,34,29316,"^DJT"
1774,#2012-12-31#,5,1,5215.86,-141.1899,6,11,29322,"^DJT"
1775,#2013-02-19#,5,2,6019.85,803.9902,33,50,29355,"^DJT"
1776,#2013-02-26#,5,1,5789.2,-230.6499,5,7,29360,"^DJT"
1777,#2013-03-19#,5,2,6291.32,502.1196,15,21,29375,"^DJT"
1778,#2013-04-05#,5,1,5878.23,-413.0898,12,17,29387,"^DJT"
1779,#2013-05-20#,5,2,6567.65,689.4199,31,45,29418,"^DJT"
1780,#2013-06-06#,5,1,6115.02,-452.6299,12,17,29430,"^DJT"
1781,#2013-06-14#,5,2,6397.34,282.3198,6,8,29436,"^DJT"
1782,#2013-06-24#,5,1,5952.18,-445.1597,6,10,29442,"^DJT"
1783,#2013-08-01#,5,2,6686.75,734.5698,27,38,29469,"^DJT"
1784,#2013-08-15#,5,1,6296.18,-390.5698,10,14,29479,"^DJT"
1785,#2013-09-20#,5,2,6754.1,457.9199,25,36,29504,"^DJT"
1786,#2013-10-09#,5,1,6401.77,-352.3301,13,19,29517,"^DJT"
1787,#2013-12-02#,5,2,7304.43,902.6602,37,54,29554,"^DJT"
1788,#2013-12-12#,5,1,7036.18,-268.25,8,10,29562,"^DJT"
1789,#2014-01-23#,5,2,7589.31,553.1299,27,42,29589,"^DJT"
1790,#2014-02-05#,5,1,7011.25,-578.0601,9,13,29598,"^DJT"
1791,#2014-02-24#,5,2,7414.53,403.2798,12,19,29610,"^DJT"
1792,#2014-03-03#,5,1,7246.17,-168.3599,5,7,29615,"^DJT"
1793,#2014-04-03#,5,2,7715.59,469.4199,23,31,29638,"^DJT"
1794,#2014-04-14#,5,1,7346.24,-369.3496,7,11,29645,"^DJT"
1795,#2014-07-23#,5,2,8513.46,1167.22,69,100,29714,"^DJT"
1796,#2014-08-08#,5,1,7959.62,-553.8398,12,16,29726,"^DJT"
1797,#2014-08-21#,5,2,8479.56,519.9395,9,13,29735,"^DJT"
1798,#2014-08-28#,5,1,8369.05,-110.5098,5,7,29740,"^DJT"
1799,#2014-09-19#,5,2,8714.76,345.71,15,22,29755,"^DJT"
1800,#2014-10-15#,5,1,7700.57,-1014.19,18,26,29773,"^DJT"
1801,#2014-11-28#,5,2,9310.22,1609.65,31,44,29804,"^DJT"
1802,#2014-12-17#,5,1,8581.72,-728.5,13,19,29817,"^DJT"
1803,#2014-12-31#,5,2,9257.04,675.3203,9,14,29826,"^DJT"
1804,#2015-01-14#,5,1,8588.73,-668.3096,9,14,29835,"^DJT"
1805,#2015-01-22#,5,2,9152.93,564.1992,5,8,29840,"^DJT"
1806,#2015-02-02#,5,1,8586.82,-566.1094,7,11,29847,"^DJT"
1807,#2015-02-25#,5,2,9214.59,627.7695,16,23,29863,"^DJT"
