"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
584,#1935-12-19#,5,1,138.3,-6.800003,9,10,9292,"^DJI"
585,#1936-01-10#,5,2,148,9.699997,17,22,9309,"^DJI"
586,#1936-01-21#,5,1,142.8,-5.199997,9,11,9318,"^DJI"
587,#1936-02-19#,5,2,155.7,12.89999,24,29,9342,"^DJI"
588,#1936-02-26#,5,1,149.1,-6.599991,5,7,9347,"^DJI"
589,#1936-03-06#,5,2,159.9,10.79999,8,9,9355,"^DJI"
590,#1936-03-13#,5,1,149.7,-10.2,6,7,9361,"^DJI"
591,#1936-04-06#,5,2,163.1,13.40001,20,24,9381,"^DJI"
592,#1936-04-30#,5,1,141.5,-21.60001,20,24,9401,"^DJI"
593,#1936-06-24#,5,2,161.2,19.7,46,55,9447,"^DJI"
594,#1936-07-08#,5,1,154.9,-6.300003,11,14,9458,"^DJI"
595,#1936-07-28#,5,2,168.2,13.3,17,20,9475,"^DJI"
596,#1936-08-21#,5,1,160.5,-7.699997,21,24,9496,"^DJI"
597,#1936-09-08#,5,2,170,9.5,14,18,9510,"^DJI"
598,#1936-09-17#,5,1,164.8,-5.199997,8,9,9518,"^DJI"
599,#1936-10-19#,5,2,178.4,13.59999,26,32,9544,"^DJI"
600,#1936-10-26#,5,1,172.2,-6.199997,6,7,9550,"^DJI"
601,#1936-11-18#,5,2,186.4,14.2,18,23,9568,"^DJI"
602,#1936-12-21#,5,1,175.3,-11.09999,27,33,9595,"^DJI"
603,#1937-02-11#,5,2,191.4,16.09999,42,52,9637,"^DJI"
604,#1937-02-24#,5,1,185.2,-6.199997,9,13,9646,"^DJI"
605,#1937-03-10#,5,2,195.6,10.40001,12,14,9658,"^DJI"
606,#1937-03-22#,5,1,179.3,-16.3,10,12,9668,"^DJI"
607,#1937-03-31#,5,2,188,8.699997,7,9,9675,"^DJI"
608,#1937-04-09#,5,1,175.9,-12.10001,8,9,9683,"^DJI"
609,#1937-04-22#,5,2,184.3,8.400009,11,13,9694,"^DJI"
610,#1937-04-28#,5,1,168.8,-15.5,5,6,9699,"^DJI"
611,#1937-05-07#,5,2,176.9,8.099991,8,9,9707,"^DJI"
612,#1937-05-18#,5,1,166.2,-10.7,9,11,9716,"^DJI"
613,#1937-05-24#,5,2,176.3,10.10001,5,6,9721,"^DJI"
614,#1937-06-17#,5,1,163.3,-13,19,24,9740,"^DJI"
