"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
147,#1982-11-08#,5,1,.7513,-3.220004E-02,18,27,2970,"EURUSD"
148,#1983-01-10#,5,2,.8364,.0851,43,63,3013,"EURUSD"
149,#1983-02-02#,5,1,.7818,-.0546,17,23,3030,"EURUSD"
150,#1983-02-16#,5,2,.8167,3.490001E-02,10,14,3040,"EURUSD"
151,#1983-03-01#,5,1,.7985,-1.819998E-02,8,13,3048,"EURUSD"
152,#1983-03-16#,5,2,.819,.0205,11,15,3059,"EURUSD"
153,#1983-03-28#,5,1,.8012,-1.780003E-02,8,12,3067,"EURUSD"
154,#1983-04-06#,5,2,.8083,7.100046E-03,7,9,3074,"EURUSD"
155,#1983-04-29#,5,1,.7906,-1.770002E-02,17,23,3091,"EURUSD"
156,#1983-05-09#,5,2,.8008,1.020002E-02,6,10,3097,"EURUSD"
157,#1983-06-07#,5,1,.7593,-4.150003E-02,20,29,3117,"EURUSD"
158,#1983-06-22#,5,2,.7733,.014,11,15,3128,"EURUSD"
159,#1983-08-11#,5,1,.7131,-6.019998E-02,35,50,3163,"EURUSD"
160,#1983-08-23#,5,2,.7419,2.880001E-02,8,12,3171,"EURUSD"
161,#1983-08-31#,5,1,.7231,-1.880002E-02,6,8,3177,"EURUSD"
162,#1983-10-07#,5,2,.7596,3.649998E-02,26,37,3203,"EURUSD"
163,#1983-12-16#,5,1,.7023,-5.729997E-02,46,70,3249,"EURUSD"
164,#1983-12-30#,5,2,.7157,1.339996E-02,9,14,3258,"EURUSD"
165,#1984-01-12#,5,1,.6868,-2.889997E-02,8,13,3266,"EURUSD"
166,#1984-03-06#,5,2,.7642,7.739997E-02,36,54,3302,"EURUSD"
167,#1984-03-21#,5,1,.7368,-2.739996E-02,11,15,3313,"EURUSD"
168,#1984-03-29#,5,2,.7543,1.749998E-02,6,8,3319,"EURUSD"
169,#1984-05-08#,5,1,.7012,-5.309999E-02,28,40,3347,"EURUSD"
170,#1984-06-04#,5,2,.7315,3.030002E-02,18,27,3365,"EURUSD"
171,#1984-08-01#,5,1,.6683,-6.320006E-02,41,58,3406,"EURUSD"
172,#1984-08-16#,5,2,.6826,1.430005E-02,11,15,3417,"EURUSD"
173,#1984-09-20#,5,1,.6234,-5.920005E-02,24,35,3441,"EURUSD"
174,#1984-10-03#,5,2,.6466,2.320004E-02,9,13,3450,"EURUSD"
175,#1984-10-16#,5,1,.6211,-.0255,8,13,3458,"EURUSD"
176,#1984-11-05#,5,2,.6657,4.460001E-02,14,20,3472,"EURUSD"
177,#1985-01-14#,5,1,.6107,-5.500001E-02,45,70,3517,"EURUSD"
178,#1985-01-24#,5,2,.6175,6.799996E-03,7,10,3524,"EURUSD"
179,#1985-02-25#,5,1,.5648,-5.269998E-02,20,32,3544,"EURUSD"
180,#1985-04-19#,5,2,.6546,.0898,39,53,3583,"EURUSD"
181,#1985-05-06#,5,1,.6053,-4.930001E-02,11,17,3594,"EURUSD"
182,#1985-05-20#,5,2,.6424,3.710002E-02,10,14,3604,"EURUSD"
183,#1985-05-28#,5,1,.6264,-1.600003E-02,5,8,3609,"EURUSD"
184,#1985-08-22#,5,2,.7111,8.469999E-02,61,86,3670,"EURUSD"
185,#1985-09-11#,5,1,.6587,-5.239999E-02,13,20,3683,"EURUSD"
186,#1985-10-03#,5,2,.7444,8.570004E-02,16,22,3699,"EURUSD"
187,#1985-10-16#,5,1,.7264,-1.800001E-02,8,13,3707,"EURUSD"
188,#1985-11-29#,5,2,.7762,4.979998E-02,30,44,3737,"EURUSD"
189,#1985-12-11#,5,1,.7669,-9.299994E-03,8,12,3745,"EURUSD"
190,#1986-01-02#,5,2,.7999,3.299999E-02,14,22,3759,"EURUSD"
191,#1986-01-14#,5,1,.7903,-9.599984E-03,8,12,3767,"EURUSD"
192,#1986-03-04#,5,2,.886,9.569997E-02,33,49,3800,"EURUSD"
193,#1986-03-13#,5,1,.8496,-3.639996E-02,7,9,3807,"EURUSD"
194,#1986-03-21#,5,2,.8699,2.029997E-02,6,8,3813,"EURUSD"
195,#1986-04-07#,5,1,.8137,-5.619997E-02,11,17,3824,"EURUSD"
196,#1986-04-28#,5,2,.901,.0873,15,21,3839,"EURUSD"
197,#1986-05-30#,5,1,.8389,-6.209999E-02,23,32,3862,"EURUSD"
198,#1986-06-16#,5,2,.8861,4.719996E-02,11,17,3873,"EURUSD"
199,#1986-06-23#,5,1,.8672,-1.889998E-02,5,7,3878,"EURUSD"
200,#1986-07-03#,5,2,.8973,3.009999E-02,8,10,3886,"EURUSD"
201,#1986-07-11#,5,1,.8909,-6.399989E-03,5,8,3891,"EURUSD"
202,#1986-09-03#,5,2,.9623,7.139999E-02,37,54,3928,"EURUSD"
203,#1986-09-11#,5,1,.9321,-.0302,6,8,3934,"EURUSD"
204,#1986-10-15#,5,2,.9879,5.580002E-02,23,34,3957,"EURUSD"
205,#1986-11-07#,5,1,.9442,-4.370004E-02,17,23,3974,"EURUSD"
206,#1986-12-01#,5,2,.9922,4.800004E-02,14,24,3988,"EURUSD"
207,#1986-12-09#,5,1,.9657,-2.650005E-02,6,8,3994,"EURUSD"
208,#1987-01-29#,5,2,1.0913,.1256,34,51,4028,"EURUSD"
209,#1987-03-11#,5,1,1.0424,-4.890001E-02,28,41,4056,"EURUSD"
210,#1987-03-31#,5,2,1.0823,3.989995E-02,14,20,4070,"EURUSD"
211,#1987-04-08#,5,1,1.0602,-2.209997E-02,6,8,4076,"EURUSD"
212,#1987-05-05#,5,2,1.1025,4.229999E-02,19,27,4095,"EURUSD"
213,#1987-06-01#,5,1,1.0634,-3.909993E-02,18,27,4113,"EURUSD"
214,#1987-06-09#,5,2,1.0889,2.549994E-02,6,8,4119,"EURUSD"
215,#1987-08-11#,5,1,1.0277,-6.120002E-02,45,63,4164,"EURUSD"
216,#1987-09-08#,5,2,1.0879,.0602001,19,28,4183,"EURUSD"
217,#1987-10-01#,5,1,1.056,-3.190005E-02,17,23,4200,"EURUSD"
218,#1987-11-30#,5,2,1.1889,.1329,39,60,4239,"EURUSD"
219,#1987-12-07#,5,1,1.1669,-2.199996E-02,5,7,4244,"EURUSD"
220,#1987-12-31#,5,2,1.2415,7.459998E-02,17,24,4261,"EURUSD"
221,#1988-02-12#,5,1,1.1382,-.1033,29,43,4290,"EURUSD"
222,#1988-03-11#,5,2,1.1734,.0352,19,28,4309,"EURUSD"
223,#1988-03-18#,5,1,1.1494,-2.400005E-02,5,7,4314,"EURUSD"
224,#1988-04-04#,5,2,1.1791,2.970004E-02,11,17,4325,"EURUSD"
225,#1988-05-31#,5,1,1.1279,-5.120003E-02,40,57,4365,"EURUSD"
226,#1988-06-07#,5,2,1.1369,8.999944E-03,5,7,4370,"EURUSD"
227,#1988-06-29#,5,1,1.066,-7.089996E-02,16,22,4386,"EURUSD"
228,#1988-07-07#,5,2,1.0737,7.699966E-03,5,8,4391,"EURUSD"
229,#1988-08-09#,5,1,1.0178,-5.589998E-02,23,33,4414,"EURUSD"
230,#1988-09-06#,5,2,1.0583,4.050004E-02,19,28,4433,"EURUSD"
231,#1988-09-26#,5,1,1.0354,-2.289999E-02,14,20,4447,"EURUSD"
232,#1988-11-25#,5,2,1.1368,.1014,41,60,4488,"EURUSD"
233,#1989-02-03#,5,1,1.0377,-9.909999E-02,47,70,4535,"EURUSD"
234,#1989-02-27#,5,2,1.073,.0352999,15,24,4550,"EURUSD"
235,#1989-03-30#,5,1,1.0279,-4.509997E-02,23,31,4573,"EURUSD"
236,#1989-04-20#,5,2,1.0561,2.820003E-02,15,21,4588,"EURUSD"
237,#1989-05-24#,5,1,.9693,-8.680004E-02,24,34,4612,"EURUSD"
238,#1989-06-02#,5,2,.9961,2.680004E-02,6,9,4618,"EURUSD"
239,#1989-06-14#,5,1,.9609,-.0352,8,12,4626,"EURUSD"
240,#1989-07-10#,5,2,1.0495,8.859998E-02,17,26,4643,"EURUSD"
241,#1989-07-24#,5,1,1.0215,-.028,10,14,4653,"EURUSD"
242,#1989-08-02#,5,2,1.0534,3.190005E-02,7,9,4660,"EURUSD"
243,#1989-08-17#,5,1,.9905,-6.290007E-02,11,15,4671,"EURUSD"
244,#1989-08-29#,5,2,1.0065,1.600003E-02,8,12,4679,"EURUSD"
245,#1989-09-15#,5,1,.9751,-3.140002E-02,12,17,4691,"EURUSD"
